size: 128 took: 11674
Check size: 128 true took:9997
size: 128 took: 12052
Check size: 128 true took:10662
size: 128 took: 11633
Check size: 128 true took:11177
size: 128 took: 12134
Check size: 128 true took:19552
size: 128 took: 12349
Check size: 128 true took:19571
size: 128 took: 22042
Check size: 128 true took:10351
size: 128 took: 22411
Check size: 128 true took:10668
