Thread, LogRounds, Check-Tput, Check-Latency
client-thread-17,6,76.054665,13
client-thread-17,7,30.962748,32
client-thread-17,8,18.550724,53
client-thread-17,9,10.759015,92
client-thread-17,10,4.7958035,208
client-thread-17,11,2.40344,416
client-thread-17,12,1.1579413,863
client-thread-17,13,0.6122849,1633
client-thread-17,14,0.30340526,3295
client-thread-17,15,0.1480765,6753
client-thread-17,16,0.069721445,14342
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-10,4,265.56018,3
client-thread-10,5,140.35088,7
client-thread-10,6,78.14408,12
client-thread-10,7,37.903465,26
client-thread-10,8,18.298784,54
client-thread-10,9,8.909306,112
client-thread-10,10,4.2132983,237
client-thread-10,11,2.31193,432
client-thread-10,12,1.0403374,961
client-thread-10,13,0.59325176,1685
client-thread-10,14,0.2534834,3945
client-thread-10,15,0.14485356,6903
client-thread-10,16,0.05489119,18217
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-5,4,284.44446,3
client-thread-5,5,142.06438,7
client-thread-5,6,62.31743,16
client-thread-5,7,36.823936,27
client-thread-5,8,17.611448,56
client-thread-5,9,8.71341,114
client-thread-5,10,4.8793507,204
client-thread-5,11,2.3792264,420
client-thread-5,12,1.209247,826
client-thread-5,13,0.59341955,1685
client-thread-5,14,0.3123086,3201
client-thread-5,15,0.13990478,7147
client-thread-5,16,0.06949965,14388
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-3,4,270.6131,3
client-thread-3,5,121.21212,8
client-thread-3,6,75.87434,13
client-thread-3,7,37.015617,27
client-thread-3,8,18.483755,54
client-thread-3,9,7.214519,138
client-thread-3,10,5.0493097,198
client-thread-3,11,2.0545747,486
client-thread-3,12,1.197168,835
client-thread-3,13,0.50085694,1996
client-thread-3,14,0.2979932,3355
client-thread-3,15,0.11768027,8497
client-thread-3,16,0.067365125,14844
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-7,4,229.39069,4
client-thread-7,5,143.65881,6
client-thread-7,6,77.38815,12
client-thread-7,7,37.948414,26
client-thread-7,8,18.59114,53
client-thread-7,9,10.313432,96
client-thread-7,10,4.794367,208
client-thread-7,11,2.3981264,416
client-thread-7,12,1.1593678,862
client-thread-7,13,0.61078316,1637
client-thread-7,14,0.30524522,3276
client-thread-7,15,0.14155048,7064
client-thread-7,16,0.073646136,13578
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-20,4,223.77623,4
client-thread-20,5,133.89122,7
client-thread-20,6,75.784485,13
client-thread-20,7,30.850807,32
client-thread-20,8,18.262234,54
client-thread-20,9,8.610831,116
client-thread-20,10,4.2099724,237
client-thread-20,11,2.3149405,431
client-thread-20,12,1.0420737,959
client-thread-20,13,0.5891965,1697
client-thread-20,14,0.25337553,3946
client-thread-20,15,0.13962641,7161
client-thread-20,16,0.057730522,17321
Thread, LogRounds, Check-Tput, Check-Latency
client-thread-18,4,263.9175,3
client-thread-18,5,142.38042,7
client-thread-18,6,62.591686,15
client-thread-18,7,37.45976,26
client-thread-18,8,17.657608,56
client-thread-18,9,8.706891,114
client-thread-18,10,4.725863,211
client-thread-18,11,2.3879707,418
client-thread-18,12,1.1539432,866
client-thread-18,13,0.58150893,1719
client-thread-18,14,0.30147228,3317
client-thread-18,15,0.13735895,7280
client-thread-18,16,0.074353024,13449
